time_s,enf_hz
0.000000000000000000e+00,2.768554687500000000e+01
1.000000000000000000e+00,3.460693359375000000e+01
2.000000000000000000e+00,4.152832031250000000e+01
3.000000000000000000e+00,4.844970703125000000e+01
4.000000000000000000e+00,4.844970703125000000e+01
5.000000000000000000e+00,4.844970703125000000e+01
6.000000000000000000e+00,4.844970703125000000e+01
7.000000000000000000e+00,4.844970703125000000e+01
8.000000000000000000e+00,4.152832031250000000e+01
9.000000000000000000e+00,3.460693359375000000e+01
1.000000000000000000e+01,2.768554687500000000e+01
